Country,Continent,Tests,Density,UrbanPop,Restrictions,HospitalBed,Lung,MedianAge,GDP2018,CrimeIndex,Population2020,Smoking2016,TotalInfected,TotalDeaths,TotalRecovered
Albania,Europe,NaN,105,63,0,2.9,11.67,32.9,15102500898,40.02,2877.797,28.7,446,23,217
Algeria,Africa,NaN,18,73,0,1.9,8.77,28.1,1.74E+11,54.41,43851.044,15.6,1914,293,591
Argentina,AmericaS,NaN,17,93,1,5,29.27,31.7,5.20E+11,62.96,45195.774,21.8,2142,90,468
Armenia,Asia,694,104,63,0,4.2,23.86,35.1,12433089919,20.78,2963.243,24.1,1013,13,197
Australia,Australia,31635,3,86,1,3.8,18.79,38.7,1.43E+12,42.7,25499.884,14.7,6315,60,1806
Austria,Europe,10278,109,57,1,7.6,17.02,44,4.55E+11,23.23,9006.398,29.6,13945,350,6987
Azerbaijan,Asia,NaN,123,56,0,4.7,20.61,31.3,46939529412,32.68,10139.177,20.8,1098,11,250
Bahrain,Africa,13553,2239,89,0,6.8,18.37,32.3,37746196809,29.18,1701.575,26.4,1136,6,558
Bangladesh,Asia,NaN,1265,39,0,0.8,69.07,26.7,2.74E+11,64.98,164689.383,23,621,34,39
Belarus,Europe,16000,47,79,0,11,9.46,40,59662495092,24.8,9449.323,26.7,2578,26,203
Belgium,Europe,4225,383,98,1,6.2,27.11,41.4,5.43E+11,42.5,11589.623,28.2,29647,3600,6463
Bosnia and Herzegovina,Europe,NaN,64,52,0,3.5,18.48,42.1,20161865419,43.57,3280.819,38.9,1009,39,193
Brazil,AmericaS,2927,25,88,0,2.2,26.57,32,1.87E+12,69.48,212559.417,13.9,22192,1223,173
Bulgaria,Europe,NaN,64,76,0,6.8,19.79,42.7,65132951116,39.31,6948.445,37,675,29,68
Cambodia,Africa,NaN,95,24,0,0.8,34.21,25.3,24542474061,51.8,16718.965,17.2,122,0,77
Canada,AmericaN,76964,4,81,1,2.7,19.01,42.2,1.71E+12,39.48,37742.154,14.3,24298,714,7123
Chile,AmericaS,NaN,26,85,0,2.2,14.84,34.4,2.98E+11,47.12,19116.201,37.8,7213,80,2059
China,Asia,320000,153,61,1,4.2,63.1,37.4,1.36E+13,36.7,1439323.776,25.6,83134,3343,77956
Colombia,AmericaS,2571,46,80,1,1.5,36.3,30,3.31E+11,52.54,50882.891,9,2776,109,270
Costa Rica,AmericaN,NaN,100,80,0,1.2,20.42,31.3,60130106116,55.77,5094.118,11.9,595,3,56
Croatia,Europe,1159,73,58,0,5.6,21.75,43,60971699315,24.23,4105.267,37,1600,23,373
Cuba,AmericaN,NaN,106,78,0,5.2,23.3,41.5,1.00E+11,27.62,11326.616,35.2,669,18,92
Cyprus,Europe,NaN,131,67,0,3.4,17.85,36.8,24961988663,29.62,1207.359,36.4,633,11,65
Czech Republic,Europe,6302,139,74,1,6.5,19.68,42.1,2.45E+11,25.99,10708.981,34.3,5991,138,464
Denmark,Europe,7620,137,88,1,2.5,31.99,42.2,3.56E+11,24.72,5792.202,19.1,6369,273,2291
Dominican Republic,AmericaN,NaN,225,85,0,1.6,11.43,28.1,85555390387,60.62,10847.91,13.7,2967,173,131
Ecuador,AmericaS,NaN,71,63,0,1.5,24.07,27.7,1.08E+11,48.91,17643.054,7.1,7466,333,501
Estonia,Europe,1387,31,68,0,5,8.8,42.7,30732144529,22.17,1326.535,31.3,1309,25,98
Ethiopia,Africa,NaN,115,21,0,0.3,18.56,17.9,84355604753,47.46,114963.588,4.4,71,3,10
Finland,Europe,900,18,86,0,4.4,9.92,42.5,2.77E+11,22.75,5540.72,20.4,2974,56,300
France,Europe,11071,119,82,1,6.5,13.15,41.4,2.78E+12,46.45,65273.511,32.7,133670,14412,27469
Georgia,Asia,NaN,57,58,0,2.6,23.26,38.1,17599660629,20.18,3989.167,28.8,257,3,67
Germany,Europe,NaN,240,76,1,8.3,20.01,47.1,3.95E+12,34.6,83783.942,30.6,127854,3022,60300
Ghana,Africa,NaN,137,57,0,0.9,21.09,21.1,65556464048,51.57,31072.94,3.9,566,8,4
Greece,Europe,NaN,81,85,0,4.3,20.62,44.5,2.18E+11,39.29,10423.054,43.4,2114,98,269
Honduras,AmericaS,NaN,89,57,0,0.7,21.39,23,23969890431,75.84,9904.607,2,393,25,7
Hungary,Europe,1587,107,72,0,7,27.68,42.3,1.58E+11,35.41,9660.351,30.6,1410,99,118
Iceland,Europe,2278,3,94,0,3.2,19.71,36.5,25878475760,23.15,341.243,14.7,1701,8,889
India,Asia,5900,464,35,1,0.7,96.92,27.9,2.72E+12,42.38,1380004.385,11.5,9205,331,1080
Indonesia,Asia,NaN,151,56,0,1.2,36.26,30.2,1.04E+12,46.26,273523.615,39.4,4241,373,359
Ireland,Europe,1784,72,63,1,2.8,24.92,36.8,3.82E+11,46.18,4937.786,24.3,9655,334,25
Israel,Europe,3872,400,93,1,3.1,16.1,29.9,3.71E+11,30.71,8655.535,25.2,11145,103,1627
Italy,Europe,148657,206,69,1,3.4,17,45.5,2.08E+12,44.35,60461.826,23.7,156363,19899,34211
Jamaica,AmericaN,NaN,273,55,0,1.7,15.74,26,15713908816,65.26,2961.167,16.8,69,4,13
Japan,Asia,16484,347,92,1,13.4,12.17,47.3,4.97E+12,15.91,126476.461,22.1,6748,108,762
Kazakhstan,Asia,NaN,7,58,0,6.7,114.28,30.6,1.79E+11,64.23,18776.707,24,951,10,99
Kenya,Africa,NaN,94,28,1,1.4,19.15,19.7,87908262520,62.38,53771.296,10.7,197,8,25
South Korea,Asia,286716,527,82,1,11.5,10.48,41.8,1.62E+12,29.24,51269.185,23.3,10512,214,7368
Kuwait,Africa,120000,240,92,0,2,10.99,29.3,1.41E+11,35.61,4270.571,22.5,1234,1,142
Latvia,Europe,1147,30,69,0,5.8,8.06,43.6,34409229178,36.6,1886.198,37,651,5,16
Lebanon,Europe,NaN,667,78,0,2.9,17.28,30.5,56639155556,43.38,6825.445,33.8,630,20,80
Lithuania,Europe,742,43,71,0,7.3,11.5,43.7,53429066429,34.82,2722.289,28.8,1053,23,97
Luxembourg,Europe,NaN,242,88,0,4.8,20.52,39.3,70885325883,30.17,625.978,23.5,3281,66,500
Malaysia,Asia,9799,99,78,1,1.9,23.73,28.5,3.59E+11,60.66,32365.999,21.5,4683,76,2108
Maldives,Asia,NaN,1802,35,0,4.3,26.7,28.2,5327457150,53.83,540.544,28.3,20,0,14
Malta,Europe,889,1380,93,0,4.7,12.05,41.8,14553422929,37.73,441.543,25.5,378,3,44
Mauritius,Africa,NaN,626,41,0,3.4,30.56,35.3,14220348673,47.34,1271.768,21.6,324,9,42
Mexico,AmericaN,NaN,66,84,0,1.5,27.85,28.3,1.22E+12,52.51,128932.753,14,4219,273,1772
Moldova,Europe,NaN,123,43,0,5.8,17.13,36.7,11443671436,45.7,4033.963,24.2,1662,31,94
Mongolia,Asia,NaN,2,67,0,7,13.4,28.3,13066749138,57.76,3278.29,25.6,16,0,4
Montenegro,Europe,NaN,47,68,0,4,17.6,40.7,5504166667,39.67,628.066,45.9,272,3,5
Morocco,Africa,NaN,83,64,0,1.1,10.39,29.3,1.18E+11,49.53,36910.56,23.4,1661,118,177
Namibia,Africa,NaN,3,55,0,2.7,43.86,21.2,14521711634,68.14,2540.905,21.4,16,0,3
Nepal,Asia,NaN,203,21,0,0.3,100.75,24.1,29040398982,35.7,29136.808,22.8,12,0,1
Netherlands,Europe,6000,508,92,1,4.7,26,42.6,9.14E+11,28.54,17134.872,25.8,25746,2747,295
New Zealand,Australia,584,18,87,1,2.8,21.88,37.9,2.05E+11,40.89,4822.233,16,1330,4,471
Nigeria,Africa,NaN,226,52,0,0.3,21.14,18.4,3.97E+11,64.64,206139.589,5.8,323,10,85
Norway,Europe,18062,15,83,1,3.9,26.13,39.2,4.34E+11,33.51,5421.241,20.2,6525,128,32
Oman,Africa,NaN,16,87,0,1.6,10.87,25.6,79276723017,21.55,5106.626,11.1,599,4,109
Pakistan,Asia,531,287,35,0,0.6,50.61,23.8,3.15E+11,44.58,220892.34,20.1,5230,91,1028
Panama,AmericaS,756,58,68,0,2.3,24.25,29.2,65055100000,45.47,4314.767,6.1,3234,79,23
Peru,AmericaS,NaN,26,79,1,1.6,17.69,28,2.22E+11,64.58,32971.854,4.8,7519,193,1798
Philippines,Asia,1030,368,47,0,1,44.52,23.5,3.31E+11,41.09,109581.078,24.3,4648,297,197
Poland,Europe,7899,124,60,1,6.5,16.16,40.7,5.86E+11,29.67,37846.611,28,6674,232,439
Portugal,Europe,NaN,111,66,1,3.4,13.35,42.2,2.41E+11,30.11,10196.709,22.7,16585,504,277
Qatar,Asia,NaN,248,96,0,1.2,7.87,33.2,1.91E+11,12,2881.053,20.6,2979,7,275
Romania,Europe,3708,84,55,0,6.3,18.8,41.1,2.40E+11,27.84,19237.691,29.7,6300,316,852
Saudi Arabia,Asia,NaN,16,84,0,2.7,12.41,27.5,7.87E+11,28.22,34813.871,15.6,4462,59,761
Serbia,Europe,NaN,100,56,0,5.7,23.27,42.6,50597289147,37.63,8737.371,38.9,3630,80,0
Singapore,Asia,NaN,8358,99,0,2.4,8.32,34.6,3.64E+11,27.7,5850.342,16.5,2532,8,560
Slovenia,Europe,6712,103,55,0,4.6,11.89,44.5,54007972106,22.01,2078.938,22.5,1205,53,150
South Africa,Africa,645,49,67,0,2.8,44.3,27.1,3.68E+11,77.02,59308.69,20.3,2173,25,410
Spain,Europe,NaN,94,80,1,3,16.37,42.7,1.42E+12,31.07,46754.778,29.3,166831,17209,62391
Sri Lanka,Asia,NaN,341,18,0,3.6,21.58,32.8,88900770858,40.15,21413.249,13,210,7,56
Sweden,Europe,14300,25,88,1,2.6,16.17,41.2,5.56E+11,47.21,10099.265,18.8,10483,899,381
Switzerland,Europe,4000,219,74,1,4.7,15.22,42.4,7.05E+11,21.18,8654.622,25.7,25415,1106,12700
Tanzania,Africa,NaN,67,37,0,0.7,18.09,17.7,58001200572,59.83,59734.218,14.8,32,3,5
Thailand,Asia,7084,137,51,0,2.1,25.82,37.7,5.05E+11,41.29,69799.978,19.9,2551,38,1218
Tunisia,Africa,NaN,76,70,0,2.3,23.54,31.6,39871132268,40.64,11818.619,32.7,707,31,43
Turkey,Europe,NaN,110,76,1,2.7,35.63,30.9,7.71E+11,39.86,84339.067,27.2,56956,1198,3446
United States,AmericaN,62657,36,83,1,2.9,32.01,38.1,2.05E+13,46.73,331002.651,21.8,555313,22020,32988
Ukraine,Europe,500,75,69,0,8.8,11.11,40.6,1.31E+11,49.04,43733.762,28.9,2777,83,89
United Arab Emirates,,125000,118,86,0,1.2,18.37,30.3,4.14E+11,15.52,9890.402,28.9,4123,22,680
United Kingdom,Europe,50442,281,83,1,2.8,23.66,40.5,2.86E+12,43.64,67886.011,22.3,85206,10629,626
Uruguay,AmericaS,NaN,20,96,0,2.8,33.57,35,59596885024,52.33,3473.73,16.8,480,7,231
Vietnam,Asia,9696,314,38,0,2.6,26.26,30.5,2.45E+11,48.22,97338.579,22.8,262,0,144